/D<0> X,/D<0> Y
0,0
1.25e-10,0
2.5e-10,0
3.75e-10,0
5e-10,0
6.25e-10,0
7.5e-10,0
8.75e-10,0
1e-09,0
1.125e-09,0
1.25e-09,0
1.375e-09,0
1.5e-09,0
1.625e-09,0
1.750000000000001e-09,0
1.875000000000001e-09,0
2e-09,0
2.125e-09,1.8
2.25e-09,1.8
2.375e-09,1.8
2.5e-09,1.8
2.625e-09,1.8
2.75e-09,1.8
2.875e-09,1.8
3e-09,1.8
3.124999999999999e-09,1.8
3.249999999999999e-09,1.8
3.374999999999999e-09,1.8
3.499999999999999e-09,1.8
3.624999999999999e-09,1.8
3.749999999999999e-09,1.8
3.874999999999998e-09,1.8
3.999999999999999e-09,1.8
4.125e-09,1.8
4.25e-09,1.8
4.375e-09,1.8
4.500000000000001e-09,1.8
4.625000000000001e-09,1.8
4.750000000000001e-09,1.8
4.875000000000001e-09,1.8
5.000000000000002e-09,1.8
5.125000000000002e-09,1.8
5.250000000000002e-09,1.8
5.375000000000003e-09,1.8
5.500000000000003e-09,1.8
5.625000000000003e-09,1.8
5.750000000000004e-09,1.8
5.875000000000003e-09,1.8
6e-09,1.8
6.125000000000004e-09,0
6.250000000000005e-09,0
6.375000000000005e-09,0
6.500000000000005e-09,0
6.625000000000006e-09,0
6.750000000000006e-09,0
6.875000000000006e-09,0
7.000000000000006e-09,0
7.125000000000007e-09,0
7.250000000000007e-09,0
7.375000000000007e-09,0
7.500000000000008e-09,0
7.625000000000007e-09,0
7.750000000000007e-09,0
7.875000000000006e-09,0
8e-09,0
8.125000000000005e-09,0
8.250000000000004e-09,0
8.375000000000004e-09,0
8.500000000000003e-09,0
8.625000000000003e-09,0
8.750000000000002e-09,0
8.875000000000002e-09,0
9.000000000000001e-09,0
9.125000000000001e-09,0
9.25e-09,0
9.375e-09,0
9.499999999999999e-09,0
9.624999999999999e-09,0
9.749999999999998e-09,0
9.874999999999997e-09,0
9.999999999999997e-09,0
1.0125e-08,0
1.025e-08,0
1.0375e-08,0
1.049999999999999e-08,0
1.062499999999999e-08,0
1.074999999999999e-08,0
1.087499999999999e-08,0
1.099999999999999e-08,0
1.112499999999999e-08,0
1.124999999999999e-08,0
1.137499999999999e-08,0
1.149999999999999e-08,0
1.162499999999999e-08,0
1.174999999999999e-08,0
1.187499999999999e-08,0
1.199999999999999e-08,0
1.212499999999999e-08,0
1.224999999999999e-08,0
1.237499999999999e-08,0
1.249999999999999e-08,0
1.262499999999999e-08,0
1.274999999999999e-08,0
1.287499999999998e-08,0
1.299999999999998e-08,0
1.312499999999998e-08,0
1.324999999999998e-08,0
1.337499999999998e-08,0
1.349999999999998e-08,0
1.362499999999998e-08,0
1.374999999999998e-08,0
1.387499999999998e-08,0
1.399999999999998e-08,0
1.412499999999998e-08,1.8
1.424999999999998e-08,1.8
1.437499999999998e-08,1.8
1.449999999999998e-08,1.8
1.462499999999998e-08,1.8
1.474999999999998e-08,1.8
1.487499999999998e-08,1.8
1.499999999999998e-08,1.8
1.512499999999997e-08,1.8
1.524999999999997e-08,1.8
1.537499999999997e-08,1.8
1.549999999999997e-08,1.8
1.562499999999997e-08,1.8
1.574999999999998e-08,1.8
1.587499999999997e-08,1.8
1.599999999999997e-08,1.8
1.612499999999997e-08,1.8
1.624999999999997e-08,1.8
1.637499999999997e-08,1.8
1.649999999999997e-08,1.8
1.662499999999997e-08,1.8
1.674999999999997e-08,1.8
1.687499999999997e-08,1.8
1.699999999999997e-08,1.8
1.712499999999997e-08,1.8
1.724999999999997e-08,1.8
1.737499999999997e-08,1.8
1.749999999999996e-08,1.8
1.762499999999996e-08,1.8
1.774999999999996e-08,1.8
1.787499999999996e-08,1.8
1.799999999999996e-08,1.8
1.812499999999996e-08,1.8
1.824999999999996e-08,1.8
1.837499999999996e-08,1.8
1.849999999999996e-08,1.8
1.862499999999996e-08,1.8
1.874999999999996e-08,1.8
1.887499999999996e-08,1.8
1.899999999999996e-08,1.8
1.912499999999996e-08,1.8
1.924999999999996e-08,1.8
1.937499999999996e-08,1.8
1.949999999999996e-08,1.8
1.962499999999996e-08,1.8
1.974999999999996e-08,1.8
1.987499999999995e-08,1.8
1.999999999999995e-08,1.8
2.012499999999995e-08,1.8
2.024999999999995e-08,1.8
2.037499999999995e-08,1.8
2.049999999999995e-08,1.8
2.062499999999995e-08,1.8
2.074999999999995e-08,1.8
2.087499999999995e-08,1.8
2.099999999999995e-08,1.8
2.112499999999995e-08,1.8
2.124999999999995e-08,1.8
2.137499999999995e-08,1.8
2.149999999999995e-08,1.8
2.162499999999995e-08,1.8
2.174999999999995e-08,1.8
2.187499999999994e-08,1.8
2.199999999999995e-08,1.8
2.212499999999995e-08,1.8
2.224999999999994e-08,1.8
2.237499999999994e-08,1.8
2.249999999999994e-08,1.8
2.262499999999994e-08,1.8
2.274999999999994e-08,1.8
2.287499999999994e-08,1.8
2.299999999999994e-08,1.8
2.312499999999994e-08,1.8
2.324999999999994e-08,1.8
2.337499999999994e-08,1.8
2.349999999999994e-08,1.8
2.362499999999994e-08,1.8
2.374999999999994e-08,1.8
2.387499999999994e-08,1.8
2.399999999999994e-08,1.8
2.412499999999994e-08,1.8
2.424999999999994e-08,1.8
2.437499999999994e-08,1.8
2.449999999999993e-08,1.8
2.462499999999993e-08,1.8
2.474999999999993e-08,1.8
2.487499999999993e-08,1.8
2.499999999999993e-08,1.8
2.512499999999993e-08,1.8
2.524999999999993e-08,1.8
2.537499999999993e-08,1.8
2.549999999999993e-08,1.8
2.562499999999993e-08,1.8
2.574999999999993e-08,1.8
2.587499999999993e-08,1.8
2.599999999999993e-08,1.8
2.612499999999993e-08,1.8
2.624999999999993e-08,1.8
2.637499999999993e-08,1.8
2.649999999999993e-08,1.8
2.662499999999993e-08,1.8
2.674999999999993e-08,1.8
2.687499999999992e-08,1.8
2.699999999999992e-08,1.8
2.712499999999992e-08,1.8
2.724999999999992e-08,1.8
2.737499999999992e-08,1.8
2.749999999999992e-08,1.8
2.762499999999992e-08,1.8
2.774999999999992e-08,1.8
2.787499999999992e-08,1.8
2.799999999999992e-08,1.8
2.812499999999992e-08,1.8
2.824999999999992e-08,1.8
2.837499999999992e-08,1.8
2.849999999999992e-08,1.8
2.862499999999992e-08,1.8
2.874999999999992e-08,1.8
2.887499999999992e-08,1.8
2.899999999999992e-08,1.8
2.912499999999992e-08,1.8
2.924999999999991e-08,1.8
2.937499999999991e-08,1.8
2.949999999999991e-08,1.8
2.962499999999991e-08,1.8
2.974999999999991e-08,1.8
2.987499999999991e-08,1.8
2.999999999999992e-08,1.8
3.012499999999992e-08,1.8
3.024999999999992e-08,1.8
3.037499999999993e-08,1.8
3.049999999999993e-08,1.8
3.062499999999993e-08,1.8
3.074999999999993e-08,1.8
3.087499999999994e-08,1.8
3.099999999999994e-08,1.8
3.112499999999994e-08,1.8
3.124999999999995e-08,1.8
3.137499999999995e-08,1.8
3.149999999999995e-08,1.8
3.162499999999995e-08,1.8
3.174999999999996e-08,1.8
3.187499999999995e-08,1.8
3.199999999999996e-08,1.8
3.212499999999997e-08,1.8
3.224999999999997e-08,1.8
3.237499999999997e-08,1.8
3.249999999999997e-08,1.8
3.262499999999998e-08,1.8
3.274999999999998e-08,1.8
3.287499999999998e-08,1.8
3.299999999999998e-08,1.8
3.312499999999999e-08,1.8
3.324999999999999e-08,1.8
3.337499999999999e-08,1.8
3.35e-08,1.8
3.3625e-08,1.8
3.375e-08,1.8
3.3875e-08,1.8
3.4e-08,1.8
3.412500000000001e-08,0
3.425000000000001e-08,0
3.437500000000001e-08,0
3.450000000000002e-08,0
3.462500000000002e-08,0
3.475000000000002e-08,0
3.487500000000003e-08,0
3.500000000000003e-08,0
3.512500000000003e-08,0
3.525000000000003e-08,0
3.537500000000004e-08,0
3.550000000000004e-08,0
3.562500000000004e-08,0
3.575000000000005e-08,0
3.587500000000004e-08,0
